2D PRATT BRIDGE TRUSS - 6 PANELS, 30 M SPAN (N, mm)
# 6 panels x 5 m = 30 m span, 5 m tall. Statically determinate (m+r = 2n).
# Chords A=6000 mm^2, verticals/diagonals A=3000.
# Pin at left, roller at right. 100 kN deck load at each interior bottom node.
# Planar model: the out-of-plane Z DOF is fixed at every node.
# units: N, mm (E = 205000 N/mm^2 steel); Y is up
21,12
# id, fixX, fixY, fixZ, x, y, z, Fx, Fy, Fz
1,1,1,1,0,0,0,0,0,0
2,0,0,1,5000,0,0,0,-100000,0
3,0,0,1,10000,0,0,0,-100000,0
4,0,0,1,15000,0,0,0,-100000,0
5,0,0,1,20000,0,0,0,-100000,0
6,0,0,1,25000,0,0,0,-100000,0
7,0,1,1,30000,0,0,0,0,0
8,0,0,1,5000,5000,0,0,0,0
9,0,0,1,10000,5000,0,0,0,0
10,0,0,1,15000,5000,0,0,0,0
11,0,0,1,20000,5000,0,0,0,0
12,0,0,1,25000,5000,0,0,0,0
# id, nodeA, nodeB, E, A
1,1,2,205000,6000
2,2,3,205000,6000
3,3,4,205000,6000
4,4,5,205000,6000
5,5,6,205000,6000
6,6,7,205000,6000
7,8,9,205000,6000
8,9,10,205000,6000
9,10,11,205000,6000
10,11,12,205000,6000
11,2,8,205000,3000
12,3,9,205000,3000
13,4,10,205000,3000
14,5,11,205000,3000
15,6,12,205000,3000
16,1,8,205000,3000
17,7,12,205000,3000
18,8,3,205000,3000
19,9,4,205000,3000
20,12,5,205000,3000
21,11,4,205000,3000
