3D PRATT THROUGH-TRUSS BRIDGE - 6 PANELS, 24 M SPAN (N, mm)
# Two parallel Pratt trusses 3.5 m apart, 6 panels x 4 m, 4 m tall.
# Bottom/top lateral bracing plus sway X-bracing at stations 1 and 5.
# Pins at x=0 (both trusses), rollers (free X) at x=24 m.
# 80 kN deck load at each interior bottom node of both trusses.
# units: N, mm (E = 205000 N/mm^2 steel); Y is up
68,24
# id, fixX, fixY, fixZ, x, y, z, Fx, Fy, Fz
1,1,1,1,0,0,0,0,0,0
2,0,0,0,4000,0,0,0,-80000,0
3,0,0,0,8000,0,0,0,-80000,0
4,0,0,0,12000,0,0,0,-80000,0
5,0,0,0,16000,0,0,0,-80000,0
6,0,0,0,20000,0,0,0,-80000,0
7,0,1,1,24000,0,0,0,0,0
8,0,0,0,4000,4000,0,0,0,0
9,0,0,0,8000,4000,0,0,0,0
10,0,0,0,12000,4000,0,0,0,0
11,0,0,0,16000,4000,0,0,0,0
12,0,0,0,20000,4000,0,0,0,0
13,1,1,1,0,0,3500,0,0,0
14,0,0,0,4000,0,3500,0,-80000,0
15,0,0,0,8000,0,3500,0,-80000,0
16,0,0,0,12000,0,3500,0,-80000,0
17,0,0,0,16000,0,3500,0,-80000,0
18,0,0,0,20000,0,3500,0,-80000,0
19,0,1,1,24000,0,3500,0,0,0
20,0,0,0,4000,4000,3500,0,0,0
21,0,0,0,8000,4000,3500,0,0,0
22,0,0,0,12000,4000,3500,0,0,0
23,0,0,0,16000,4000,3500,0,0,0
24,0,0,0,20000,4000,3500,0,0,0
# id, nodeA, nodeB, E, A
1,1,2,205000,6000
2,2,3,205000,6000
3,3,4,205000,6000
4,4,5,205000,6000
5,5,6,205000,6000
6,6,7,205000,6000
7,8,9,205000,6000
8,9,10,205000,6000
9,10,11,205000,6000
10,11,12,205000,6000
11,2,8,205000,3000
12,3,9,205000,3000
13,4,10,205000,3000
14,5,11,205000,3000
15,6,12,205000,3000
16,1,8,205000,4000
17,7,12,205000,4000
18,8,3,205000,3000
19,9,4,205000,3000
20,12,5,205000,3000
21,11,4,205000,3000
22,13,14,205000,6000
23,14,15,205000,6000
24,15,16,205000,6000
25,16,17,205000,6000
26,17,18,205000,6000
27,18,19,205000,6000
28,20,21,205000,6000
29,21,22,205000,6000
30,22,23,205000,6000
31,23,24,205000,6000
32,14,20,205000,3000
33,15,21,205000,3000
34,16,22,205000,3000
35,17,23,205000,3000
36,18,24,205000,3000
37,13,20,205000,4000
38,19,24,205000,4000
39,20,15,205000,3000
40,21,16,205000,3000
41,24,17,205000,3000
42,23,16,205000,3000
43,1,13,205000,3000
44,2,14,205000,3000
45,3,15,205000,3000
46,4,16,205000,3000
47,5,17,205000,3000
48,6,18,205000,3000
49,7,19,205000,3000
50,8,20,205000,3000
51,9,21,205000,3000
52,10,22,205000,3000
53,11,23,205000,3000
54,12,24,205000,3000
55,1,14,205000,2500
56,14,3,205000,2500
57,3,16,205000,2500
58,16,5,205000,2500
59,5,18,205000,2500
60,18,7,205000,2500
61,20,9,205000,2500
62,9,22,205000,2500
63,22,11,205000,2500
64,11,24,205000,2500
65,8,14,205000,2500
66,20,2,205000,2500
67,12,18,205000,2500
68,24,6,205000,2500
