3D BUILDING TOWER TRUSS - 5 STORIES, X-BRACED (N, mm)
# 4 m x 4 m plan, 5 stories x 3 m = 15 m tall.
# Legs A=8000 mm^2, beams A=4000, face braces A=3000, plan braces A=2500.
# Base pinned. Wind +X on upper levels, gravity -Y on roof corners.
# units: N, mm (E = 205000 N/mm^2 steel); Y is up
70,24
# id, fixX, fixY, fixZ, x, y, z, Fx, Fy, Fz
1,1,1,1,0,0,0,0,0,0
2,1,1,1,4000,0,0,0,0,0
3,1,1,1,4000,0,4000,0,0,0
4,1,1,1,0,0,4000,0,0,0
5,0,0,0,0,3000,0,4000,0,0
6,0,0,0,4000,3000,0,0,0,0
7,0,0,0,4000,3000,4000,0,0,0
8,0,0,0,0,3000,4000,4000,0,0
9,0,0,0,0,6000,0,8000,0,0
10,0,0,0,4000,6000,0,0,0,0
11,0,0,0,4000,6000,4000,0,0,0
12,0,0,0,0,6000,4000,8000,0,0
13,0,0,0,0,9000,0,12000,0,0
14,0,0,0,4000,9000,0,0,0,0
15,0,0,0,4000,9000,4000,0,0,0
16,0,0,0,0,9000,4000,12000,0,0
17,0,0,0,0,12000,0,16000,0,0
18,0,0,0,4000,12000,0,0,0,0
19,0,0,0,4000,12000,4000,0,0,0
20,0,0,0,0,12000,4000,16000,0,0
21,0,0,0,0,15000,0,20000,-50000,0
22,0,0,0,4000,15000,0,0,-50000,0
23,0,0,0,4000,15000,4000,0,-50000,0
24,0,0,0,0,15000,4000,20000,-50000,0
# id, nodeA, nodeB, E, A
1,1,5,205000,8000
2,5,6,205000,4000
3,1,6,205000,3000
4,2,6,205000,8000
5,6,7,205000,4000
6,2,7,205000,3000
7,3,7,205000,8000
8,7,8,205000,4000
9,3,8,205000,3000
10,4,8,205000,8000
11,8,5,205000,4000
12,4,5,205000,3000
13,5,7,205000,2500
14,6,8,205000,2500
15,5,9,205000,8000
16,9,10,205000,4000
17,6,9,205000,3000
18,6,10,205000,8000
19,10,11,205000,4000
20,7,10,205000,3000
21,7,11,205000,8000
22,11,12,205000,4000
23,8,11,205000,3000
24,8,12,205000,8000
25,12,9,205000,4000
26,5,12,205000,3000
27,9,11,205000,2500
28,10,12,205000,2500
29,9,13,205000,8000
30,13,14,205000,4000
31,9,14,205000,3000
32,10,14,205000,8000
33,14,15,205000,4000
34,10,15,205000,3000
35,11,15,205000,8000
36,15,16,205000,4000
37,11,16,205000,3000
38,12,16,205000,8000
39,16,13,205000,4000
40,12,13,205000,3000
41,13,15,205000,2500
42,14,16,205000,2500
43,13,17,205000,8000
44,17,18,205000,4000
45,14,17,205000,3000
46,14,18,205000,8000
47,18,19,205000,4000
48,15,18,205000,3000
49,15,19,205000,8000
50,19,20,205000,4000
51,16,19,205000,3000
52,16,20,205000,8000
53,20,17,205000,4000
54,13,20,205000,3000
55,17,19,205000,2500
56,18,20,205000,2500
57,17,21,205000,8000
58,21,22,205000,4000
59,17,22,205000,3000
60,18,22,205000,8000
61,22,23,205000,4000
62,18,23,205000,3000
63,19,23,205000,8000
64,23,24,205000,4000
65,19,24,205000,3000
66,20,24,205000,8000
67,24,21,205000,4000
68,20,21,205000,3000
69,21,23,205000,2500
70,22,24,205000,2500
