3D TRANSMISSION TOWER - TAPERED LATTICE, 16 M TALL (N, mm)
# Square lattice tower tapering from 6 m to 2 m across, 4 panels x 4 m.
# Legs A=6000 mm^2, horizontals A=2500, face braces A=2000, plan braces A=1800.
# Conductor pull +Z and dead load -Y applied at the 4 top nodes.
# units: N, mm (E = 205000 N/mm^2 steel); Y is up
56,20
# id, fixX, fixY, fixZ, x, y, z, Fx, Fy, Fz
1,1,1,1,-3000,0,-3000,0,0,0
2,1,1,1,3000,0,-3000,0,0,0
3,1,1,1,3000,0,3000,0,0,0
4,1,1,1,-3000,0,3000,0,0,0
5,0,0,0,-2500,4000,-2500,0,0,0
6,0,0,0,2500,4000,-2500,0,0,0
7,0,0,0,2500,4000,2500,0,0,0
8,0,0,0,-2500,4000,2500,0,0,0
9,0,0,0,-2000,8000,-2000,0,0,0
10,0,0,0,2000,8000,-2000,0,0,0
11,0,0,0,2000,8000,2000,0,0,0
12,0,0,0,-2000,8000,2000,0,0,0
13,0,0,0,-1500,12000,-1500,0,0,0
14,0,0,0,1500,12000,-1500,0,0,0
15,0,0,0,1500,12000,1500,0,0,0
16,0,0,0,-1500,12000,1500,0,0,0
17,0,0,0,-1000,16000,-1000,0,-15000,12000
18,0,0,0,1000,16000,-1000,0,-15000,12000
19,0,0,0,1000,16000,1000,0,-15000,12000
20,0,0,0,-1000,16000,1000,0,-15000,12000
# id, nodeA, nodeB, E, A
1,1,5,205000,6000
2,5,6,205000,2500
3,1,6,205000,2000
4,2,6,205000,6000
5,6,7,205000,2500
6,2,7,205000,2000
7,3,7,205000,6000
8,7,8,205000,2500
9,3,8,205000,2000
10,4,8,205000,6000
11,8,5,205000,2500
12,4,5,205000,2000
13,5,7,205000,1800
14,6,8,205000,1800
15,5,9,205000,6000
16,9,10,205000,2500
17,6,9,205000,2000
18,6,10,205000,6000
19,10,11,205000,2500
20,7,10,205000,2000
21,7,11,205000,6000
22,11,12,205000,2500
23,8,11,205000,2000
24,8,12,205000,6000
25,12,9,205000,2500
26,5,12,205000,2000
27,9,11,205000,1800
28,10,12,205000,1800
29,9,13,205000,6000
30,13,14,205000,2500
31,9,14,205000,2000
32,10,14,205000,6000
33,14,15,205000,2500
34,10,15,205000,2000
35,11,15,205000,6000
36,15,16,205000,2500
37,11,16,205000,2000
38,12,16,205000,6000
39,16,13,205000,2500
40,12,13,205000,2000
41,13,15,205000,1800
42,14,16,205000,1800
43,13,17,205000,6000
44,17,18,205000,2500
45,14,17,205000,2000
46,14,18,205000,6000
47,18,19,205000,2500
48,15,18,205000,2000
49,15,19,205000,6000
50,19,20,205000,2500
51,16,19,205000,2000
52,16,20,205000,6000
53,20,17,205000,2500
54,13,20,205000,2000
55,17,19,205000,1800
56,18,20,205000,1800
